total,1273,1160,1200
gown,33,0,2
dance,13,0,11
air force,0,1,1
bull,0,25,0
bear,0,1,0
yellow,23,5,10
tv personality,6,0,0
protest,28,623,81
cellular network,1,0,0
gang,18,26,9
skin,16,1,19
dish,8,0,28
grandparent,0,1,8
aggression,0,1,0
marching,4,6,0
folk dance,4,0,1
father,2,0,2
physical fitness,1,1,10
traditional sport,2,0,0
financial adviser,1,2,2
handshake,2,0,0
smile,300,24,125
presentation,0,0,5
lake,0,0,1
adventure racing,1,0,0
mufti,0,1,2
international rules football,1,0,0
woman,68,6,42
outerwear,12,4,23
sitting,10,8,33
f\xc3\xaate,34,18,15
dessert,0,0,1
wave,0,1,0
automotive tire,1,0,0
basketball moves,1,0,0
fan,80,63,19
headgear,34,13,33
cook,0,0,12
politician,0,0,2
drinking,2,0,1
bodyguard,0,4,9
championship,44,28,4
cool,12,3,9
school,2,0,16
baking,0,0,1
scholar,1,0,0
knight,0,0,1
christmas,3,0,2
sand,7,2,7
race,28,12,24
team,140,27,30
mammal,9,20,10
floristry,9,2,1
bicycle,0,0,3
hindu temple,0,0,2
plaid,0,0,2
filmmaking,0,0,1
crop,0,1,0
horn,0,3,0
chef,0,0,3
street,79,256,168
design,1,0,12
patient,1,0,0
blue,11,4,10
darkness,7,9,12
pint us,0,0,1
mountainous landforms,0,0,1
sun,0,0,1
cooking,0,0,8
orchestra,0,0,1
uniform,5,12,5
fashion design,1,0,1
public event,160,504,98
carpet,6,2,1
middle ages,1,0,2
leg,20,1,12
funeral,0,5,0
stallion,1,0,0
herd,0,0,1
water,35,10,18
pradal serey,2,0,3
trunk,30,2,13
teacher,0,0,5
arena,0,0,1
boy,5,4,25
photo shoot,2,0,1
disc jockey,0,0,1
daughter,4,1,2
lieutenant,0,1,0
stemware,1,0,0
cake decorating,1,0,0
soldier,1,18,8
action figure,0,0,1
advertising,8,92,17
military,1,20,14
bridal clothing,29,0,2
sweetness,0,0,1
musical instrument,1,0,7
love,3,0,1
family,29,3,15
business administration,1,0,2
tuxedo,5,3,5
liqueur,1,0,2
football player,41,2,9
singing,0,0,1
market,6,2,4
standing,9,1,30
bazaar,2,1,2
eye,8,1,18
army,1,16,7
ulama,0,3,2
sports,117,17,32
outdoor structure,0,0,1
winter squash,0,0,1
music,3,2,10
vehicle,68,150,96
roller sport,0,1,0
grass family,0,2,1
door,2,0,0
road bicycle,1,0,0
riot,0,3,0
club,22,1,4
musician,4,4,14
talent manager,0,1,2
award,1,0,0
academician,3,0,1
flag,0,25,6
football equipment and supplies,1,0,0
senior citizen,20,13,122
floral design,0,1,1
mascot,4,0,0
town,0,0,2
bridesmaid,0,0,1
room,4,0,15
car,78,57,83
athlete,1,0,4
patriarch,1,2,11
chinese new year,0,1,0
rock concert,0,1,4
modern art,0,0,2
clergy,4,2,9
male,48,10,39
laughter,12,0,1
history,1,3,1
heart,2,0,0
monochrome photography,19,39,40
infantry,0,2,4
law enforcement,0,3,0
autumn,1,0,0
computer wallpaper,0,2,3
chin,3,1,2
magenta,7,1,6
